id,GLOBAL_SCORE
EK202310003556,153
EK202310170625,153
EK202310167359,153
EK202310118370,153
EK202320006361,153
EK202310003542,153
EK202310125266,153
EK202310144740,153
EK202310137443,143
EK202310159067,153
EK202310245067,153
EK202310240556,153
EK202310166743,153
EK202310247454,104
EK202310215702,153
EK202310142190,153
EK202310205417,153
EK202310119601,153
EK202310190356,143
EK202310158758,153
EK202310145496,153
EK202310164763,153
EK202310200188,153
EK202310238803,153
EK202320005607,153
EK202310225681,153
EK202310127174,153
EK202310204317,153
EK202310179355,153
EK202310176524,153
EK202310237228,153
EK202310172549,153
EK202310168863,153
EK202310185904,153
EK202310133615,143
EK202310122063,153
EK202310121770,153
EK202310125590,153
EK202310172269,153
EK202310147894,143
EK202310137986,153
EK202310150838,153
EK202310104915,153
EK202310170090,153
EK202310165637,153
EK202310134467,153
EK202310182637,153
EK202310112116,153
EK202310241220,153
EK202310103801,143
EK202310177448,143
EK202310157860,153
EK202310211985,153
EK202310232907,143
EK202310162917,153
EK202310211786,153
EK202310132171,153
EK202310153694,153
EK202310174960,153
EK202310121096,104
EK202310222475,153
EK202310146254,153
EK202310111466,153
EK202310004385,153
EK202310108961,153
EK202310203170,153
EK202310161424,153
EK202310206583,153
EK202310138840,153
EK202310221976,153
EK202310143972,153
EK202310175420,153
EK202310227655,153
EK202310163389,150
EK202310239480,157
EK202310146467,153
EK202310162597,153
EK202310194862,153
EK202310152448,153
EK202310245431,153
EK202310206822,153
EK202310166559,153
EK202310221701,153
EK202310231403,153
EK202310156027,153
EK202310135956,153
EK202310183176,153
EK202310206055,153
EK202310167360,153
EK202310142701,153
EK202310156629,153
EK202310241352,153
EK202310123587,153
EK202310003639,153
EK202310158269,153
EK202320007090,153
EK202310111707,153
EK202310104096,153
EK202310235404,104
EK202310108783,153
EK202310116298,153
EK202310156281,153
EK202310164483,153
EK202310108212,153
EK202310233950,153
EK202310157041,153
EK202310104522,153
EK202310175972,153
EK202310225965,153
EK202310138403,153
EK202310234452,153
EK202310104614,153
EK202310117970,153
EK202310128727,153
EK202310190230,143
EK202310201465,153
EK202310197534,153
EK202310171846,153
EK202310193751,153
EK202310242967,153
EK202310112852,153
EK202310132804,153
EK202310127612,153
EK202310136082,153
EK202310186665,153
EK202310156519,153
EK202310108430,153
EK202310164930,153
EK202310153971,153
EK202310129412,153
EK202310124383,153
EK202310215858,153
EK202310104131,153
EK202310185040,153
EK202310119251,153
EK202310191724,153
EK202310149922,153
EK202310176193,153
EK202310204311,153
EK202310248324,153
EK202310120496,153
EK202310233548,153
EK202310219178,153
EK202310114723,153
EK202310185832,153
EK202310106587,153
EK202310239252,153
EK202310208710,153
EK202310244056,153
EK202310223702,143
EK202310236969,153
EK202310196070,153
EK202310227710,153
EK202310119702,153
EK202310143351,153
EK202310144967,153
EK202310207097,153
EK202310193281,153
EK202310223068,153
EK202310158743,153
EK202310142353,153
EK202310154024,153
EK202310136326,143
EK202320006526,153
EK202310240160,153
EK202310230270,153
EK202310209591,153
EK202310201937,153
EK202310138686,153
EK202310125946,153
EK202310112949,153
EK202310128660,153
EK202310223565,153
EK202310155372,153
EK202310229467,153
EK202310232289,153
EK202310142439,153
EK202310128595,143
EK202310228661,143
EK202310220811,153
EK202310104677,153
EK202310108708,153
EK202310235044,143
EK202310141363,153
EK202310174855,153
EK202310154755,153
EK202310157326,153
EK202310228659,153
EK202310215026,153
EK202310177129,153
EK202310178830,153
EK202310222959,153
EK202320007347,153
EK202310153807,153
EK202310165563,153
EK202310240070,153
EK202310171642,153
EK202310221419,153
EK202310210258,153
EK202310108225,153
EK202310156515,153
EK202320006021,153
EK202310214746,153
EK202310166648,153
EK202310243041,120
EK202310227731,153
EK202310118513,153
EK202310240129,153
EK202310140813,153
EK202310181628,153
EK202310126085,153
EK202310246101,153
EK202310113312,153
EK202310217968,153
EK202310213114,153
EK202310219800,153
EK202310184495,153
EK202310119316,104
EK202310180007,153
EK202310199156,153
EK202310177234,153
EK202310226743,153
EK202310189141,120
EK202320006005,153
EK202310227823,153
EK202310174022,153
EK202310134374,153
EK202310200180,153
EK202310161433,153
EK202310121700,153
EK202310237451,153
EK202310192827,153
EK202310160428,153
EK202310205223,153
EK202310111659,153
EK202310218773,153
EK202310161247,153
EK202310109618,153
EK202310155619,153
EK202310135096,153
EK202310188704,153
EK202310198311,153
EK202310138345,153
EK202310187653,153
EK202310223676,153
EK202310165688,153
EK202310104779,153
EK202320007241,153
EK202310247012,153
EK202310115649,153
EK202310158687,153
EK202310139898,153
EK202310183012,153
EK202310189323,153
EK202310236084,153
EK202310187745,153
EK202310213754,153
EK202310207691,143
EK202310213360,153
EK202310134511,153
EK202310162421,153
EK202310137854,153
EK202310150901,153
EK202310114810,153
EK202310110564,153
EK202310188498,153
EK202310122137,143
EK202310234827,153
EK202310123845,153
EK202310117679,153
EK202310226733,153
EK202310146806,153
EK202310186532,153
EK202310198523,153
EK202310169242,153
EK202310189605,153
EK202310177460,153
EK202310156053,153
EK202310138997,153
EK202310231114,153
EK202310147763,153
EK202310119709,153
EK202310121129,153
EK202310137901,153
EK202310144077,153
EK202310110337,153
EK202310184408,153
EK202310215841,153
EK202310157214,153
EK202310193140,153
EK202310216105,153
EK202310246420,153
EK202310118424,153
EK202310144290,153
EK202310236171,153
EK202310161913,153
EK202310116195,153
EK202310140252,153
EK202310238025,153
EK202310146861,153
EK202310125756,153
EK202310211082,153
EK202310202590,153
EK202310212292,153
EK202310151188,153
EK202310186431,153
EK202310197054,153
EK202310229535,153
EK202310237693,153
EK202310127899,153
EK202310125513,153
EK202310143417,153
EK202310114922,153
EK202310185011,153
EK202310157380,153
EK202310242841,153
EK202310128764,153
EK202310160302,153
EK202310132265,153
EK202310142152,153
EK202310184138,153
EK202310218922,153
EK202310105732,153
EK202310202421,153
EK202310204745,117
EK202310231651,153
EK202310206373,153
