id,GLOBAL_SCORE
EK202310003556,132.43
EK202310170625,146.81
EK202310167359,150.82
EK202310118370,131.98
EK202320006361,147.68
EK202310003542,134.11
EK202310125266,140.34
EK202310144740,144.05
EK202310137443,143.03
EK202310159067,154.46
EK202310245067,129.44
EK202310240556,131.45
EK202310166743,137.67
EK202310247454,133.77
EK202310215702,157.97
EK202310142190,153.66
EK202310205417,134.75
EK202310119601,138.32
EK202310190356,135.89
EK202310158758,139.24
EK202310145496,138.81
EK202310164763,147.1
EK202310200188,141.83
EK202310238803,160.53
EK202320005607,156.23
EK202310225681,133.5
EK202310127174,136.35
EK202310204317,146.51
EK202310179355,136.86
EK202310176524,148.58
EK202310237228,137.33
EK202310172549,163.48
EK202310168863,144.55
EK202310185904,154.83
EK202310133615,154.83
EK202310122063,129.11
EK202310121770,144.93
EK202310125590,132.64
EK202310172269,136.96
EK202310147894,141.3
EK202310137986,141.64
EK202310150838,142.96
EK202310104915,138.04
EK202310170090,131.03
EK202310165637,135.82
EK202310134467,132.2
EK202310182637,157.57
EK202310112116,142.39
EK202310241220,159.02
EK202310103801,141.97
EK202310177448,139.69
EK202310157860,166.12
EK202310211985,134.64
EK202310232907,147.57
EK202310162917,140.38
EK202310211786,134.67
EK202310132171,158.68
EK202310153694,152.54
EK202310174960,164.87
EK202310121096,133.51
EK202310222475,136.18
EK202310146254,152.62
EK202310111466,142.13
EK202310004385,153.81
EK202310108961,141.66
EK202310203170,138.52
EK202310161424,168.42
EK202310206583,150.75
EK202310138840,136.35
EK202310221976,137.57
EK202310143972,144.17
EK202310175420,133.62
EK202310227655,146.3
EK202310163389,139.74
EK202310239480,134.83
EK202310146467,145.74
EK202310162597,140.76
EK202310194862,143.74
EK202310152448,150.89
EK202310245431,147.81
EK202310206822,169.31
EK202310166559,167.28
EK202310221701,155.44
EK202310231403,129.86
EK202310156027,140.0
EK202310135956,140.66
EK202310183176,133.46
EK202310206055,180.17
EK202310167360,145.67
EK202310142701,142.02
EK202310156629,160.61
EK202310241352,148.24
EK202310123587,156.08
EK202310003639,145.46
EK202310158269,152.88
EK202320007090,147.69
EK202310111707,139.24
EK202310104096,150.99
EK202310235404,130.27
EK202310108783,137.24
EK202310116298,136.74
EK202310156281,151.66
EK202310164483,137.57
EK202310108212,126.49
EK202310233950,137.23
EK202310157041,140.39
EK202310104522,133.77
EK202310175972,147.7
EK202310225965,138.15
EK202310138403,138.9
EK202310234452,135.47
EK202310104614,149.95
EK202310117970,137.01
EK202310128727,135.75
EK202310190230,134.22
EK202310201465,147.41
EK202310197534,166.56
EK202310171846,135.33
EK202310193751,153.33
EK202310242967,140.02
EK202310112852,164.62
EK202310132804,148.59
EK202310127612,145.83
EK202310136082,171.83
EK202310186665,160.26
EK202310156519,137.1
EK202310108430,151.62
EK202310164930,141.89
EK202310153971,166.49
EK202310129412,132.87
EK202310124383,143.05
EK202310215858,145.11
EK202310104131,137.14
EK202310185040,142.49
EK202310119251,136.54
EK202310191724,153.84
EK202310149922,136.86
EK202310176193,152.95
EK202310204311,146.07
EK202310248324,153.84
EK202310120496,136.78
EK202310233548,137.79
EK202310219178,137.93
EK202310114723,143.44
EK202310185832,159.59
EK202310106587,154.52
EK202310239252,133.98
EK202310208710,137.18
EK202310244056,130.02
EK202310223702,125.92
EK202310236969,145.78
EK202310196070,155.78
EK202310227710,137.13
EK202310119702,133.89
EK202310143351,145.41
EK202310144967,136.97
EK202310207097,135.73
EK202310193281,130.33
EK202310223068,139.91
EK202310158743,147.67
EK202310142353,146.23
EK202310154024,147.2
EK202310136326,140.6
EK202320006526,153.18
EK202310240160,141.44
EK202310230270,141.67
EK202310209591,142.04
EK202310201937,145.38
EK202310138686,135.28
EK202310125946,145.44
EK202310112949,150.46
EK202310128660,157.49
EK202310223565,141.92
EK202310155372,152.26
EK202310229467,139.7
EK202310232289,137.82
EK202310142439,152.71
EK202310128595,139.93
EK202310228661,137.25
EK202310220811,133.73
EK202310104677,145.19
EK202310108708,143.49
EK202310235044,129.99
EK202310141363,143.97
EK202310174855,154.95
EK202310154755,141.66
EK202310157326,140.19
EK202310228659,138.86
EK202310215026,161.34
EK202310177129,140.58
EK202310178830,152.2
EK202310222959,128.4
EK202320007347,145.06
EK202310153807,166.27
EK202310165563,154.49
EK202310240070,126.12
EK202310171642,140.54
EK202310221419,135.5
EK202310210258,139.01
EK202310108225,140.49
EK202310156515,144.44
EK202320006021,169.28
EK202310214746,143.91
EK202310166648,142.14
EK202310243041,136.41
EK202310227731,130.09
EK202310118513,129.09
EK202310240129,154.25
EK202310140813,143.78
EK202310181628,140.76
EK202310126085,136.55
EK202310246101,142.2
EK202310113312,138.33
EK202310217968,131.73
EK202310213114,135.44
EK202310219800,145.64
EK202310184495,148.54
EK202310119316,132.11
EK202310180007,141.35
EK202310199156,135.66
EK202310177234,151.34
EK202310226743,144.56
EK202310189141,135.17
EK202320006005,150.72
EK202310227823,137.68
EK202310174022,147.04
EK202310134374,138.96
EK202310200180,131.24
EK202310161433,157.5
EK202310121700,134.39
EK202310237451,137.27
EK202310192827,147.47
EK202310160428,150.05
EK202310205223,135.57
EK202310111659,147.5
EK202310218773,137.1
EK202310161247,144.39
EK202310109618,145.41
EK202310155619,132.39
EK202310135096,158.92
EK202310188704,146.14
EK202310198311,161.63
EK202310138345,129.22
EK202310187653,145.56
EK202310223676,150.85
EK202310165688,137.22
EK202310104779,137.62
EK202320007241,170.21
EK202310247012,145.44
EK202310115649,141.74
EK202310158687,139.04
EK202310139898,146.52
EK202310183012,140.24
EK202310189323,171.09
EK202310236084,148.93
EK202310187745,140.38
EK202310213754,150.48
EK202310207691,129.81
EK202310213360,139.11
EK202310134511,134.53
EK202310162421,142.54
EK202310137854,162.8
EK202310150901,141.17
EK202310114810,140.96
EK202310110564,137.21
EK202310188498,129.08
EK202310122137,133.39
EK202310234827,136.86
EK202310123845,160.65
EK202310117679,147.89
EK202310226733,135.93
EK202310146806,138.01
EK202310186532,142.65
EK202310198523,137.14
EK202310169242,140.28
EK202310189605,149.16
EK202310177460,137.96
EK202310156053,144.61
EK202310138997,136.65
EK202310231114,140.63
EK202310147763,135.56
EK202310119709,142.2
EK202310121129,146.13
EK202310137901,146.95
EK202310144077,144.45
EK202310110337,130.47
EK202310184408,141.2
EK202310215841,133.37
EK202310157214,148.57
EK202310193140,134.38
EK202310216105,134.89
EK202310246420,134.35
EK202310118424,131.98
EK202310144290,137.34
EK202310236171,131.86
EK202310161913,141.97
EK202310116195,134.61
EK202310140252,141.28
EK202310238025,146.99
EK202310146861,134.93
EK202310125756,130.66
EK202310211082,136.6
EK202310202590,133.62
EK202310212292,134.8
EK202310151188,140.8
EK202310186431,158.15
EK202310197054,142.07
EK202310229535,134.18
EK202310237693,132.25
EK202310127899,153.36
EK202310125513,133.52
EK202310143417,150.96
EK202310114922,148.2
EK202310185011,140.91
EK202310157380,142.1
EK202310242841,146.71
EK202310128764,130.68
EK202310160302,136.17
EK202310132265,136.64
EK202310142152,140.15
EK202310184138,146.21
EK202310218922,147.05
EK202310105732,129.19
EK202310202421,138.59
EK202310204745,141.02
EK202310231651,136.82
EK202310206373,143.69
EK202310231327,134.9
EK202310129440,146.55
EK202310229405,142.45
EK202310233561,133.98
EK202310141433,147.53
EK202310164651,148.42
EK202310201935,150.04
EK202310184574,128.69
EK202310223915,146.07
EK202310200908,152.09
EK202310128941,138.83
EK202310186952,169.2
EK202310193974,150.59
EK202310169879,151.6
EK202310172093,130.51
EK202310184529,133.06
EK202310230089,139.03
EK202310181118,154.05
EK202310204225,137.57
EK202310112100,129.32
EK202310222373,148.48
EK202310182126,148.5
EK202310169072,138.78
EK202310203100,152.0
EK202310228065,147.91
EK202310003374,126.89
EK202310231993,136.19
EK202310166999,135.58
EK202310113561,144.12
EK202310150384,156.91
EK202310204151,145.24
EK202310243179,156.15
EK202310229664,138.7
EK202310214850,140.96
EK202310203348,147.31
EK202310146725,133.28
EK202310134763,134.87
EK202310145729,157.48
EK202310246535,150.72
EK202310141577,137.82
EK202310216160,133.57
EK202310116782,140.69
EK202310211327,151.06
EK202310204090,143.9
EK202310175898,155.07
EK202310226259,142.01
EK202310151274,140.55
EK202310154215,141.63
EK202310174277,152.21
EK202320006496,148.19
EK202310141969,141.0
EK202320005622,151.76
EK202310157093,148.92
EK202310139909,145.26
EK202310209908,145.56
EK202310218730,135.93
EK202310229718,130.46
EK202310111615,141.0
EK202310138168,130.65
EK202310162118,161.39
EK202310164185,146.59
EK202310123341,135.23
EK202310154152,140.86
EK202310169662,144.14
EK202310195289,145.1
EK202310247758,154.66
EK202310223580,134.05
EK202310104690,138.08
EK202310234439,134.05
EK202310225052,157.23
EK202310139674,155.18
EK202310186662,133.98
EK202310198339,148.24
EK202310219978,135.47
EK202310205279,144.25
EK202310241147,158.84
EK202310225981,158.49
EK202310168112,139.44
EK202310226106,138.54
EK202310116095,131.3
EK202310114593,143.43
EK202310175636,132.64
EK202310117905,153.5
EK202310200614,151.65
EK202310137390,141.18
EK202310196458,149.23
EK202310212839,144.95
EK202310149449,150.62
EK202310172721,134.61
EK202310133382,130.51
EK202310171991,145.03
EK202310178147,145.99
EK202310210822,131.97
EK202310169958,136.19
EK202310216612,132.81
EK202310190351,134.96
EK202310128333,141.45
EK202310156052,137.07
EK202310207300,149.87
EK202310148098,144.51
EK202310236834,140.0
EK202310206502,146.64
EK202310232490,127.82
EK202310115920,130.4
EK202310155557,136.53
EK202310118792,147.7
EK202310213449,141.55
EK202310157956,150.46
EK202310202461,150.06
EK202310210080,162.93
EK202310123713,145.8
EK202310138636,143.32
EK202310197194,142.59
EK202310136131,164.16
EK202310194280,133.67
EK202310144073,156.18
EK202310196767,159.69
EK202310152659,137.64
EK202310119318,135.33
EK202310175079,147.66
EK202310246973,140.16
EK202310177069,133.92
EK202310228915,143.93
EK202310237967,139.88
EK202310004766,141.17
EK202310197580,160.09
EK202310163370,146.62
EK202310126258,130.94
EK202320006245,153.58
EK202310214455,148.81
EK202310225077,165.94
EK202310121345,130.19
EK202310118753,124.97
EK202310209148,141.81
EK202310235651,138.86
EK202310195584,143.78
EK202310131541,137.32
EK202310167958,152.52
EK202310232848,133.02
EK202310112373,135.44
EK202310247588,171.53
EK202310124781,140.61
EK202310187345,163.27
EK202310117200,156.61
EK202310103838,136.53
EK202310123310,146.17
EK202310193567,154.34
EK202310176987,146.51
EK202310217483,129.03
EK202310219653,134.86
EK202310189258,135.64
EK202310213235,133.83
EK202310148485,138.89
EK202310243846,129.18
EK202310157685,146.02
EK202310228217,169.19
EK202310167414,150.2
EK202310116553,145.99
EK202310154306,148.41
EK202310218246,140.38
EK202310214924,153.29
EK202310124301,148.32
EK202310132969,137.47
EK202310116665,146.83
EK202310126109,149.42
EK202310246626,142.36
EK202310165655,134.28
EK202310222900,137.3
EK202310183920,146.39
EK202310188655,140.77
EK202310140837,144.38
EK202310110105,129.59
EK202310166926,161.23
EK202310222571,149.32
EK202310130862,161.82
EK202310159918,141.98
EK202310191732,167.68
EK202310154430,160.11
EK202310209379,135.28
EK202310242826,158.42
EK202310127621,142.0
EK202310144269,141.64
EK202310168554,169.85
EK202310225096,127.24
EK202310004191,137.82
EK202310198832,136.89
EK202310166122,153.61
EK202310197812,178.31
EK202310173577,134.36
EK202310107780,136.46
EK202310200080,139.97
EK202310244832,157.19
EK202310153701,150.93
EK202310248897,147.39
EK202310238758,144.21
EK202310180956,164.46
EK202310133597,168.67
EK202310165926,146.4
EK202310113563,144.33
EK202310219177,141.26
EK202310215546,141.15
EK202310239803,134.85
EK202310170081,125.73
EK202310206625,140.55
EK202310104069,138.79
EK202310186393,160.18
EK202310173267,136.5
EK202310110426,146.86
EK202310164765,138.68
EK202310158220,134.9
EK202310168816,149.45
EK202310204071,140.26
EK202310157259,149.79
EK202310156843,141.45
EK202310223529,134.86
EK202310149961,142.49
EK202310108241,135.07
EK202310168245,142.34
EK202310191021,138.03
EK202310165776,144.56
EK202310172874,133.39
EK202310163779,146.24
EK202310188731,157.21
EK202310105850,161.52
EK202310129025,148.29
EK202310122251,142.33
EK202310233739,128.41
EK202310145467,135.44
EK202310125541,140.26
EK202310128736,153.54
EK202310157339,151.87
EK202310204674,151.56
EK202310199931,134.62
EK202310159776,154.72
EK202310233618,158.89
EK202310209554,148.33
EK202310147590,140.27
EK202310233558,134.87
EK202310141475,144.64
EK202310192184,144.89
EK202310121465,138.81
EK202310144674,154.31
EK202310225145,157.5
EK202310211862,137.31
EK202310218476,136.61
EK202310227106,157.07
EK202310184475,138.07
EK202310132027,157.78
EK202310134826,142.96
EK202310182784,153.2
EK202310236142,126.52
EK202310215997,172.15
EK202310218885,148.52
EK202310189497,138.0
EK202310242392,144.78
EK202310139831,131.66
EK202310159899,135.12
EK202320007536,146.39
EK202310205864,151.27
EK202310205412,147.09
EK202310178623,144.43
EK202310144137,140.62
EK202310156851,145.96
EK202310200692,138.55
EK202310221442,143.66
EK202310225402,147.91
EK202310128314,139.14
EK202310135585,152.52
EK202310230304,163.18
EK202310106564,142.86
EK202310195276,133.13
EK202310168561,138.44
EK202310238035,145.5
EK202310210412,138.47
EK202310193015,149.39
EK202310160429,153.66
EK202310203227,133.33
EK202310144260,133.46
EK202310231994,134.47
EK202310169556,142.33
EK202310112231,151.11
EK202310179305,150.84
EK202310111693,154.97
EK202310163778,140.71
EK202310197562,148.31
EK202310147780,140.99
EK202310165497,169.46
EK202310191527,135.87
EK202310106149,141.65
EK202310179787,139.54
EK202310247018,150.96
EK202310177578,154.68
EK202310138872,162.88
EK202310204378,135.57
EK202310146296,157.78
EK202310110160,140.01
EK202310179095,143.27
EK202310220481,130.24
EK202310227227,140.49
EK202310234336,158.03
EK202310145809,143.31
EK202310209306,152.22
EK202310225649,126.4
EK202310226704,147.29
EK202310157072,163.31
EK202310121530,131.7
EK202310165600,139.29
EK202310197233,140.69
EK202310184332,131.2
EK202310143743,154.99
EK202310154640,147.23
EK202310158286,149.1
EK202310123880,137.82
EK202310182423,148.81
EK202310124053,130.25
EK202310206144,135.88
EK202310140890,153.48
EK202310127015,128.95
EK202310134941,152.92
EK202310119304,130.36
EK202310212796,141.4
EK202310108377,132.41
EK202310174180,141.11
EK202310239157,145.55
EK202310216632,136.88
EK202310172285,137.89
EK202310150279,148.66
EK202310186491,131.58
EK202310197932,145.55
EK202310120172,143.84
EK202310216664,149.53
EK202320006884,171.89
EK202310178918,149.53
EK202310144935,136.71
EK202310141510,138.49
EK202310216762,150.29
EK202310106406,132.64
EK202310111996,142.95
EK202310208681,139.45
EK202310226247,132.75
EK202310113253,167.22
EK202310122999,144.79
EK202310155079,147.89
EK202310160222,141.7
EK202310210742,137.2
EK202310156801,147.56
EK202310159360,144.49
EK202310180024,148.48
EK202310213928,136.98
EK202310152334,140.87
EK202310245937,129.28
EK202310164808,166.48
EK202310146870,140.5
EK202310163950,148.89
EK202310195716,149.33
EK202310150305,152.34
EK202310229713,136.04
EK202310188916,152.58
EK202310121395,140.57
EK202310160376,142.98
EK202310244651,143.32
EK202310150169,134.85
EK202310110958,138.59
EK202310143966,133.62
EK202310221741,163.51
EK202310187012,145.66
EK202310193822,161.71
EK202310172094,136.34
EK202310178633,142.28
EK202310117674,141.17
EK202310133805,139.33
EK202310180948,166.12
EK202310203849,138.48
EK202310149491,169.03
EK202310216830,157.94
EK202310229432,134.2
EK202310109652,136.71
EK202310181925,140.06
EK202310196245,137.39
EK202310248098,142.56
EK202310183221,161.95
EK202310196195,165.53
EK202310197137,138.69
EK202310110247,148.81
EK202310144126,144.4
EK202310156911,158.53
EK202310224215,139.63
EK202310236337,137.08
EK202310188431,152.17
EK202310137114,167.34
EK202310115030,144.59
EK202310117460,130.43
EK202310162361,139.65
EK202310130281,169.51
EK202310148428,145.26
EK202310163311,140.48
EK202310145526,139.5
EK202310235374,141.28
EK202310156223,148.99
EK202310151269,135.8
EK202310150741,148.94
EK202310225372,136.52
EK202310133344,145.39
EK202310127071,138.98
EK202310152237,144.23
EK202310244229,130.85
EK202310167190,139.42
EK202310154488,158.33
EK202310211108,130.55
EK202310114416,146.33
EK202310222978,160.17
EK202310187337,166.29
EK202310195712,169.58
EK202310176238,149.23
EK202310204719,154.48
EK202310184298,138.43
EK202310215525,142.66
EK202310154861,139.97
EK202310200739,134.8
EK202310242424,129.89
EK202310247300,137.5
EK202310116475,139.93
EK202310225458,135.01
EK202310126918,137.5
EK202310185579,130.48
EK202310241455,140.45
EK202310209465,138.41
EK202310142842,143.39
EK202310185122,140.51
EK202310223530,138.17
EK202310188514,148.28
EK202310171731,140.0
EK202310130376,152.28
EK202310222189,141.25
EK202310106430,146.47
EK202310127369,147.96
EK202310236443,136.73
EK202310182405,148.81
EK202310210187,129.01
EK202310116888,132.01
EK202310173132,139.65
EK202310108743,133.56
EK202310125006,132.38
EK202310213574,131.94
EK202310165356,148.82
EK202310149418,162.24
EK202310198882,133.67
EK202310231320,140.84
EK202310205653,143.91
EK202310198599,143.77
EK202310199963,131.9
EK202310173699,147.95
EK202310245726,137.37
EK202320006040,171.09
EK202310154743,146.49
EK202310188160,138.69
EK202310214367,160.22
EK202310103702,140.93
EK202310127965,145.17
EK202310203245,163.25
EK202310139888,137.66
EK202310108972,136.5
EK202310004612,137.11
EK202310143552,145.77
EK202310120024,149.66
EK202310221518,141.98
EK202310180966,165.05
EK202310193489,144.17
EK202310117005,136.22
EK202310213271,143.33
EK202310120394,152.14
EK202310183259,149.76
EK202310125697,142.06
EK202310110553,139.54
EK202310150138,138.63
EK202310169349,141.8
EK202310224959,134.77
EK202310003872,137.32
EK202310189922,159.12
EK202310196746,161.14
EK202310189397,132.36
EK202310154076,143.76
EK202310003409,134.77
EK202310132461,137.74
EK202310114430,146.51
EK202310207939,136.23
EK202310219274,134.68
EK202310226342,141.82
EK202310127397,142.94
EK202310237125,129.06
EK202310214068,157.85
EK202310184942,148.74
EK202310113334,142.13
EK202310121808,127.56
EK202310134472,134.75
EK202310213189,133.55
EK202310200986,135.36
EK202310183319,138.6
EK202310138451,137.2
EK202310134480,134.63
EK202310248001,139.06
EK202310215511,139.91
EK202310148692,158.98
EK202310003356,142.95
EK202310186363,146.53
EK202310117649,134.16
EK202310107222,123.11
EK202310140103,127.76
EK202310162055,149.49
EK202310160543,144.92
EK202310104526,137.2
EK202310111072,146.9
EK202310144115,143.85
EK202310227753,157.61
EK202310168401,145.1
EK202310225278,136.99
EK202310121727,147.58
EK202310209068,139.65
EK202310117324,142.99
EK202310119649,145.73
EK202310154151,139.99
EK202310235668,138.01
EK202310197052,137.14
EK202310133218,146.34
EK202310228623,134.52
EK202310236771,130.06
EK202320007756,156.61
EK202310123680,136.85
EK202310153796,153.42
EK202310184256,153.26
EK202310189360,150.03
EK202310169170,151.91
EK202310238568,163.64
EK202310147463,144.74
EK202310246348,140.06
EK202310146645,140.11
EK202310112043,148.16
EK202310126693,135.25
EK202310105633,135.85
EK202310108187,138.15
EK202310142659,144.9
EK202310154109,144.89
EK202310187961,158.8
EK202310138151,141.59
EK202310145768,140.45
EK202310204437,132.41
EK202310234444,135.31
EK202310146920,143.77
EK202310191972,142.66
EK202310135664,140.37
EK202310136647,160.14
EK202310149136,145.9
EK202310004755,131.5
EK202310003806,140.65
EK202320005862,148.71
EK202310238222,135.07
EK202310165638,147.08
EK202310195278,140.69
EK202310191050,145.78
EK202310165081,160.22
EK202310141108,138.01
EK202310225501,134.35
EK202310190006,153.15
EK202310232901,147.2
EK202310183145,138.11
EK202310133834,171.19
EK202310111865,136.52
EK202310233162,141.87
EK202310144096,139.22
EK202310241460,144.79
EK202310148061,146.79
EK202310123096,155.61
EK202310168745,134.13
EK202310232533,135.13
EK202310238139,141.45
EK202310107671,144.63
EK202310003635,137.31
EK202310160939,140.56
EK202310165138,148.59
EK202310177363,150.62
EK202310140380,145.75
EK202310127640,133.67
EK202310145483,142.91
EK202310144142,134.73
EK202310182466,148.08
EK202310134774,142.45
EK202310239504,150.56
EK202310179694,129.2
EK202310105818,139.91
EK202310206801,148.31
EK202310133427,141.05
EK202310172349,137.19
EK202310144166,147.66
EK202310118960,128.94
EK202310199115,145.7
EK202310213777,151.65
EK202310232118,129.55
EK202310204757,144.34
EK202310241858,152.67
EK202310204589,158.99
EK202310224131,140.13
EK202310160384,151.89
EK202310158733,145.02
EK202310139320,132.87
EK202310186373,154.13
EK202310207408,135.62
EK202310202032,134.17
