file,label
8a32d0bfa.png,Small-flowered Cranesbill
3bbef3ecb.png,Common Chickweed
1312065a5.png,Small-flowered Cranesbill
314975112001815520539544433871319897870.png,cat
08d591441.png,Sugar beet
a35fd6fbb.png,Common Chickweed
b39c71707.png,Maize
835dc5447.png,Small-flowered Cranesbill
62950154961377561969019821661100027286.png,cow
b29339405.png,Loose Silky-bent
ce15eee52.png,Charlock
53e6e9000.png,Common wheat
b4f7c9214.png,Loose Silky-bent
fd925f542.png,Common Chickweed
8faadb6a8.png,Fat Hen
7506c0c02.png,Common Chickweed
1821eb11a.png,Scentless Mayweed
d0152bd7c.png,Fat Hen
ef02b4ee7.png,Sugar beet
36d62bf36.png,Common wheat
f66ae4070.png,Maize
3827436f3.png,Common Chickweed
65d08b894.png,Fat Hen
e471f1d3a.png,Charlock
ace8761dd.png,Common Chickweed
8a8d6c712.png,Cleavers
60f0bc617.png,Small-flowered Cranesbill
114772305850941529804817023941438556136.png,cow
98062cd87.png,Common Chickweed
25fa8d109.png,Common wheat
ff65bc002.png,Charlock
675ec1b0b.png,Small-flowered Cranesbill
02cfeb38d.png,Loose Silky-bent
b6a3f7876.png,Loose Silky-bent
1376f3b63.png,Loose Silky-bent
47658595428324394789821309099589089323.png,cow
2126dc71b.png,Common Chickweed
213010846992993125757394995282035612722.png,dog
9516e56c4.png,Loose Silky-bent
218874480359658910745178439199095919505.png,cat
7696badea.png,Black-grass
91924591497228461027528170526356690192.png,horse
b687160f5.png,Small-flowered Cranesbill
327234189712878220381244383128070883371.png,dog
52319067382024617228519468580881978006.png,dog
0d31e6602.png,Common Chickweed
1456216224179311383053419850660836360.png,Loose Silky-bent
87608f7aa.png,Small-flowered Cranesbill
4bbfd1e05.png,Cleavers
cf90fc52d.png,Maize
63032002817935748760364485428883829421.png,dog
279824515966779663404071810018281739488.png,Maize
ce42adffb.png,Loose Silky-bent
0021e90e4.png,Small-flowered Cranesbill
1d56351b2.png,Common Chickweed
69344847646008003226000890002787943907.png,cow
c10db7ae2.png,Maize
e73e308be.png,Fat Hen
8b043093d.png,Small-flowered Cranesbill
56917300092257762426239503887041395840.png,cow
a8c8a1db0.png,Common Chickweed
d41d87796.png,Scentless Mayweed
fe9e87b78.png,Common Chickweed
19618ad6a.png,Sugar beet
be2499cf4.png,Black-grass
3f826b318.png,Common Chickweed
35127407563079918440916079424532296443.png,cow
a55d26a4c.png,Common Chickweed
158568641639916073956357578317310077522.png,cow
bdde957ec.png,Scentless Mayweed
6c874918c.png,Loose Silky-bent
a544fc46d.png,Common Chickweed
39141507718372352680002658194996793768.png,cow
711b46fba.png,Common Chickweed
bea23d9f8.png,Common Chickweed
b2706e2b3.png,Common wheat
b62dca166.png,Fat Hen
dcd7ff249.png,Scentless Mayweed
dc4cd56a3.png,Loose Silky-bent
c1ecff98b.png,Loose Silky-bent
2d9c798f9.png,Small-flowered Cranesbill
3b73c3b61.png,Loose Silky-bent
668c1007c.png,Charlock
d84d37a61.png,Common Chickweed
285676140404979007787341663388364583395.png,horse
043449b0b.png,Sugar beet
05341a8a6.png,Scentless Mayweed
203265593202860009460420706164069523935.png,horse
165681fd9.png,Small-flowered Cranesbill
294424611615990486145336901939260155032.png,cow
e901b0f28.png,Fat Hen
3dd52bd2a.png,Small-flowered Cranesbill
174584585708402934949468205947202087528.png,cow
232615359403760498171902254514234787663.png,cow
272429491546730328900537269039444633472.png,cow
235345302867770592133568317043735054079.png,dog
406162ef9.png,Charlock
71f5323c5.png,Loose Silky-bent
dabea05f4.png,Loose Silky-bent
486e59179.png,Common Chickweed
3efa1f66c.png,Loose Silky-bent
78b1bf91a.png,Sugar beet
5b3000b9a.png,Maize
159097802903600686184733580836417241116.png,cat
75cb95e91.png,Charlock
334776080465612835836895017467604431949.png,cat
96ecad7a1.png,Small-flowered Cranesbill
240486860101241591988646368956502058242.png,dog
7a38416be.png,Charlock
226359594838668908864724935895635261518.png,cat
338c7e907.png,Charlock
003d61042.png,Fat Hen
756dd5070.png,Common Chickweed
39453312692293265931452091481804719003.png,cat
bd789d151.png,Common Chickweed
590f5aea6.png,Charlock
31f3dd81f.png,Loose Silky-bent
5b63dcc21.png,Common Chickweed
578085607549996704754764695939539694.png,dog
b026bf8ca.png,Loose Silky-bent
f8318faf1.png,Common Chickweed
a1e0a6c02.png,Cleavers
a006a475c.png,Common Chickweed
313373334876967799755257414321148943035.png,cow
cae684f8f.png,Charlock
6a41bf95b.png,Scentless Mayweed
ef65533d5.png,Loose Silky-bent
8cf2e3e6c.png,Common Chickweed
a2b703e21.png,Small-flowered Cranesbill
9326bda1b.png,Common Chickweed
292137704194734036030075239273219056470.png,cow
377283a21.png,Maize
0bf7bfb05.png,Loose Silky-bent
7f31c7f42.png,Loose Silky-bent
c88ebfb47.png,Small-flowered Cranesbill
caa2fbd79.png,Common Chickweed
205df1df3.png,Fat Hen
592473c83.png,Loose Silky-bent
260071317580112326382061405707000841570.png,cat
308768974486201426493204194488857859960.png,cat
2bd74d2da.png,Loose Silky-bent
66ab0e8d0.png,Charlock
325943156157125577042328598477643459225.png,cat
466bb6d3b.png,Maize
61b044411.png,Loose Silky-bent
177597797005870580821610305585986395357.png,cow
48ef6a2ff.png,Common wheat
129743092130922354709757083873252591694.png,horse
bb64660b7.png,Sugar beet
6ba4ef411.png,Cleavers
c0461776c.png,Common Chickweed
e9cd91682.png,Common Chickweed
207695716330411009239100211329772817253.png,dog
6a47821f9.png,Loose Silky-bent
00d090cde.png,Loose Silky-bent
47f9e5d91.png,Common Chickweed
eec1079a1.png,Charlock
e783f5a4f.png,Sugar beet
1be0713da.png,Cleavers
4f44ca525.png,Common Chickweed
429211ee6.png,Fat Hen
167036249800467535507023746338272377946.png,cow
089ad62a7.png,Common Chickweed
9cce7328c.png,Loose Silky-bent
2df78338c.png,Common Chickweed
837ac0270.png,Fat Hen
ede6b84b4.png,Cleavers
42e7ed442.png,Shepherds Purse
9c32a797e.png,Common wheat
ab35453cb.png,Cleavers
4e1190d78.png,Loose Silky-bent
1926e82fd.png,Loose Silky-bent
85431c075.png,Loose Silky-bent
36839d5e9.png,Common Chickweed
172f9b10b.png,Common Chickweed
a2c89c367.png,Charlock
d563be369.png,Fat Hen
8303b27ed.png,Loose Silky-bent
7691014a1.png,Small-flowered Cranesbill
659412b1a.png,Loose Silky-bent
93d76fd5d.png,Small-flowered Cranesbill
653193c1a.png,Common wheat
618de3d7a.png,Charlock
6b9d6f8c9.png,Sugar beet
134517694510611052674113344385520452621.png,cow
92292055d.png,Common Chickweed
4e9d3765f.png,Charlock
24dbc3b21.png,Sugar beet
71e73a8a0.png,Sugar beet
523e5505c.png,Fat Hen
67ce3eaa6.png,Small-flowered Cranesbill
2a667e099.png,Fat Hen
e478c452c.png,Sugar beet
161196054664388557991196765680101972961.png,cat
e5064f6be.png,Fat Hen
966ae5ad9.png,Loose Silky-bent
721b2c47a.png,Fat Hen
117543511520732421976880066624886538965.png,horse
1d321253f.png,Fat Hen
aaf4da98f.png,Sugar beet
bf66b9cd2.png,Maize
199155473599124684710769961471332427726.png,horse
b828443ff.png,Maize
86f08e6d1.png,Fat Hen
ef74dbcad.png,Common Chickweed
93079d970.png,Sugar beet
c832e4302.png,Fat Hen
aecfaed64.png,Common Chickweed
6680836dd.png,Sugar beet
a1da8be3c.png,Maize
148bbda66.png,Charlock
8b9144917.png,Common Chickweed
3d65168c2.png,Common Chickweed
c7051c902.png,Common Chickweed
25501884364557686458867068179923056940.png,dog
59c6a9f95.png,Common Chickweed
8e6ec1ca6.png,Small-flowered Cranesbill
6049234e6.png,Fat Hen
03566743d.png,Fat Hen
3526b05cc.png,Scentless Mayweed
164220732858183449269454108375924012403.png,horse
14090112419467635596243152474014384963.png,cow
b944a49ca.png,Loose Silky-bent
c5e88cd42.png,Common Chickweed
728eabae1.png,Charlock
72555447363456976865511676921847571677.png,cat
157140348088638880269647872951614795497.png,cat
cb496f36e.png,Loose Silky-bent
f1e87cba7.png,Loose Silky-bent
754b1adf8.png,Small-flowered Cranesbill
770a265f5.png,Small-flowered Cranesbill
