file,label
8a32d0bfa.png,Small-flowered Cranesbill
3bbef3ecb.png,Sugar beet
1312065a5.png,Small-flowered Cranesbill
314975112001815520539544433871319897870.png,Loose Silky-bent
08d591441.png,Fat Hen
a35fd6fbb.png,Common Chickweed
b39c71707.png,Maize
835dc5447.png,Small-flowered Cranesbill
62950154961377561969019821661100027286.png,horse
b29339405.png,Fat Hen
ce15eee52.png,Common Chickweed
53e6e9000.png,Fat Hen
b4f7c9214.png,Common wheat
fd925f542.png,Loose Silky-bent
8faadb6a8.png,Loose Silky-bent
7506c0c02.png,Scentless Mayweed
1821eb11a.png,Common Chickweed
d0152bd7c.png,Loose Silky-bent
ef02b4ee7.png,Fat Hen
36d62bf36.png,Common wheat
f66ae4070.png,Maize
3827436f3.png,Common Chickweed
65d08b894.png,Common wheat
e471f1d3a.png,Charlock
ace8761dd.png,Maize
8a8d6c712.png,Fat Hen
60f0bc617.png,Small-flowered Cranesbill
114772305850941529804817023941438556136.png,cow
98062cd87.png,Small-flowered Cranesbill
25fa8d109.png,Loose Silky-bent
ff65bc002.png,Small-flowered Cranesbill
675ec1b0b.png,Small-flowered Cranesbill
02cfeb38d.png,Loose Silky-bent
b6a3f7876.png,Loose Silky-bent
1376f3b63.png,Loose Silky-bent
47658595428324394789821309099589089323.png,horse
2126dc71b.png,Fat Hen
213010846992993125757394995282035612722.png,cat
9516e56c4.png,Black-grass
218874480359658910745178439199095919505.png,Fat Hen
7696badea.png,Loose Silky-bent
91924591497228461027528170526356690192.png,Common Chickweed
b687160f5.png,Small-flowered Cranesbill
327234189712878220381244383128070883371.png,horse
52319067382024617228519468580881978006.png,dog
0d31e6602.png,Small-flowered Cranesbill
1456216224179311383053419850660836360.png,Black-grass
87608f7aa.png,Charlock
4bbfd1e05.png,Cleavers
cf90fc52d.png,Maize
63032002817935748760364485428883829421.png,cow
279824515966779663404071810018281739488.png,Maize
ce42adffb.png,Loose Silky-bent
0021e90e4.png,Small-flowered Cranesbill
1d56351b2.png,Sugar beet
69344847646008003226000890002787943907.png,cow
c10db7ae2.png,Maize
e73e308be.png,Loose Silky-bent
8b043093d.png,Small-flowered Cranesbill
56917300092257762426239503887041395840.png,cow
a8c8a1db0.png,Small-flowered Cranesbill
d41d87796.png,Scentless Mayweed
fe9e87b78.png,Scentless Mayweed
19618ad6a.png,Fat Hen
be2499cf4.png,Black-grass
3f826b318.png,Fat Hen
35127407563079918440916079424532296443.png,cow
a55d26a4c.png,Fat Hen
158568641639916073956357578317310077522.png,Charlock
bdde957ec.png,Shepherds Purse
6c874918c.png,Loose Silky-bent
a544fc46d.png,Common Chickweed
39141507718372352680002658194996793768.png,horse
711b46fba.png,Shepherds Purse
bea23d9f8.png,Shepherds Purse
b2706e2b3.png,Fat Hen
b62dca166.png,Fat Hen
dcd7ff249.png,Common wheat
dc4cd56a3.png,Fat Hen
c1ecff98b.png,Loose Silky-bent
2d9c798f9.png,Fat Hen
3b73c3b61.png,Scentless Mayweed
668c1007c.png,Charlock
d84d37a61.png,Scentless Mayweed
285676140404979007787341663388364583395.png,horse
043449b0b.png,Loose Silky-bent
05341a8a6.png,Fat Hen
203265593202860009460420706164069523935.png,Common wheat
165681fd9.png,Small-flowered Cranesbill
294424611615990486145336901939260155032.png,cow
e901b0f28.png,Black-grass
3dd52bd2a.png,Small-flowered Cranesbill
174584585708402934949468205947202087528.png,horse
232615359403760498171902254514234787663.png,cow
272429491546730328900537269039444633472.png,Cleavers
235345302867770592133568317043735054079.png,cat
406162ef9.png,Common Chickweed
71f5323c5.png,Loose Silky-bent
dabea05f4.png,Loose Silky-bent
486e59179.png,Shepherds Purse
3efa1f66c.png,Loose Silky-bent
78b1bf91a.png,Sugar beet
5b3000b9a.png,Maize
159097802903600686184733580836417241116.png,cow
75cb95e91.png,Maize
334776080465612835836895017467604431949.png,Black-grass
96ecad7a1.png,Small-flowered Cranesbill
240486860101241591988646368956502058242.png,Maize
7a38416be.png,Charlock
226359594838668908864724935895635261518.png,Fat Hen
338c7e907.png,Small-flowered Cranesbill
003d61042.png,Loose Silky-bent
756dd5070.png,Scentless Mayweed
39453312692293265931452091481804719003.png,Small-flowered Cranesbill
bd789d151.png,Common Chickweed
590f5aea6.png,Charlock
31f3dd81f.png,Loose Silky-bent
5b63dcc21.png,Fat Hen
578085607549996704754764695939539694.png,Common Chickweed
