index,titulo,categoria
610,"""De nada sirven los triunfos si la paz no los corona"" #LaPazHabla",Película y Animación
819,"""Hay mejores formas para uno mostrar su forma de pensar"" Sofía",Película y Animación
637,#LosNacionalesXSeñal - Bahía Cupica,Deportes
740,#LosNacionalesXSeñal - Estudiantes Utech balonmano,Deportes
160,#LosNacionalesXSeñal - Las pruebas de triatlón llenaron de emoción al municipio de Prado,Deportes
101,"#LosNacionalesXSeñal - María Elena Hurtado, la Pelé antioqueña",Deportes
405,#LosNacionalesXSeñal - Niños voley playa,Deportes
681,#LosNacionalesXSeñal - ¡Hicimos historia!,Deportes
428,#PedaleoPor: Ariel Molina envía un saludo a los escarabajos,Deportes
13,#PedaleoPor: Ariel Molina envía un saludo a los escarabajos,Deportes
817,#PedaleoPor: Dagoberto López envía un saludo a los escarabajos,Deportes
181,#PedaleoPor: Esteban Kekessy envía un saludo a los escarabajos,Deportes
799,#PedaleoPor: Henry García envía un saludo a los escarabajos,Deportes
420,#PedaleoPor: James Guevara envía un saludo a los escarabajos,Deportes
947,#PedaleoPor: Javier Cruz envía un saludo a los escarabajos,Deportes
810,#PedaleoPor: Javier Rodríguez envía un saludo a los escarabajos,Deportes
858,#PedaleoPor: Jonathan Devía envía un saludo a los escarabajos,Deportes
376,#PedaleoPor: Jorge Merchán envía un saludo a los escarabajos,Deportes
472,#PedaleoPor: Jorge envía un saludo a los escarabajos,Deportes
116,#PedaleoPor: Jorge envía un saludo a los escarabajos,Deportes
258,#PedaleoPor: Luz Mery Páez envía un saludo a los escarabajos,Deportes
781,#PedaleoPor: Mayra Lozano envía un saludo a los escarabajos,Deportes
885,#PedaleoPor: Patricia envía un saludo a los escarabajos,Deportes
300,#PedaleoPor: Ricardo Ramírez envía un saludo a los escarabajos,Deportes
539,#PedaleoPor: Ricardo Ramírez envía un saludo a los escarabajos,Deportes
107,#VotoCriollo - El chontaduro,Gente y Blogs
513,#VotoCriollo - Las sillas criollas,Gente y Blogs
195,#VotoCriollo - Oficios de parque,Gente y Blogs
867,03 INFOGRAFIA INFANTIL - HUELLA ENERGETICA,Entretenimiento
444,1 de 6 cine joven.mpg,Entretenimiento
50,1 de 6 cirugia estetica acceso directo.mpg,Entretenimiento
883,1 de 6 música fusión Acceso directo.mpg,Entretenimiento
673,1 de 6 transgeneristas acceso directo.mpg,Entretenimiento
645,1280 Almas - Soledad Criminal (Señal Radiónica),Otros
876,1° Conversatorio Todo lo que Somos - Rompiendo Fronteras,Gente y Blogs
507,2 de 6 Reinsertados Acceso directo.mpg,Entretenimiento
614,2 de 6 SIDA Acceso Directo,Entretenimiento
983,2 de 6 la hora del sí Acceso Directo.mpg,Entretenimiento
79,2 de 6 musica fusion acceso directo.mpg,Entretenimiento
962,2 de 6 patrimonio Acceso directo,Entretenimiento
226,"25 de agosto: Automovilismo, Atletismo",Deportes
474,3 Legado Jaime R Echavarria Acceso Directo.mpg,Entretenimiento
332,3 de 6 Migracion Acceso Directo,Educación
639,4 de 6 Migracion Acceso Directo,Educación
395,5 Cosas que debes saber sobre el boxeo,Deportes
537,5 Legado Jaime R Echavarria Acceso Directo.mpg,Entretenimiento
703,5 de 6 Paranormal Acceso Directo.mpg,Entretenimiento
193,5 de 6 cirugia estetica acceso directo.mpg,Entretenimiento
560,5 de 7 Radio Nacional 70 años Acceso directo,Entretenimiento
215,5 diferencias entre el ciclismo femenino y masculino,Deportes
140,5 razones para ver el Tour de L' Avenir - Daniel Martínez.,Deportes
500,6 de 6 Paranormal Acceso Directo.mpg,Entretenimiento
178,6 de 6 Reinsertados Acceso directo.mpg,Entretenimiento
849,Abril es el mes de la palabra en señalcolombia,Entretenimiento
568,Actividad - Liga de la Animación - Mi Señal,Educación
763,"Aislados - Canción 'La peroleta', Tumaco",Gente y Blogs
730,"Aislados - Juana Carmela Berrío, en Santa Cruz del Islote",Gente y Blogs
286,"Aislados - Postal luna, Nuquí",Otros
285,Aislados - Postal noche - Nazareth,Otros
53,"Aislados, ganador India Catalina mejor fotografía",Gente y Blogs
443,Al paso de Garzón - Todo lo que vimos,Otros
899,Alerta Kamarada - Legal (Señal Radiónica),Otros
245,Altimetrías - Etapa 12 - Tour de Francia 2015,Deportes
794,Ana Mercedes Hoyos en Señal Colombia,Película y Animación
394,Andrés Salcedo en @SenalDeportes con 'El día en que el fútbol murió',Deportes
601,Anthonya - Liga de la Animación,Educación
682,Antonia - Reguetón,Película y Animación
865,Antón tiruriru - Villancicos típicos colombianos,Otros
773,Anónimas extraordinarias - Maura De Caldas,Película y Animación
91,Anónimas extraordinarias - Águila Tway,Película y Animación
149,Aquí se nace - Documental sobre Armero,Película y Animación
924,Arena Miranda - Baile en Silla de Ruedas,Deportes
556,Art of Motion en Santorini,Deportes
720,Así calientan los hinchas el Maracaná,Deportes
628,Así celebran los goles chilenos con Señal Deportes,Deportes
65,Así fue nuestra visita a la Fundación Cardioinfantil,Película y Animación
427,"Así se preparan los músicos - Concurso Nacional de Bandas de Paipa, Boyacá",Entretenimiento
311,Avellanas,Educación
631,Baúles Parte 2,Educación
900,Bicentenario Memoria Revelada - Agustín Agualongo,Educación
463,Bicentenario Memoria Revelada - Migraciones,Educación
86,Bicentenario Memoria Revelada - Saludo Colombia,Educación
532,Bicentenario Memoria Revelada - Saludo Venezuela,Educación
909,Bocadillo veleño,Película y Animación
953,"Brasilandia, una favela invadida por la pasión hacia el fútbol",Deportes
453,Cabezote Todo lo que vemos.mpg,Educación
839,Camiseta del equipo LOTTO-BELISO,Deportes
519,Camiseta del equipo SOJASUN,Deportes
554,"Cap 04 De Güipas y Guámbitos - Rosalía, la reina del desierto",Gente y Blogs
201,Cap 06 Güipas y Guámbitos - Los encostalados del cerro,Gente y Blogs
596,Capitulo 01 - Todo lo que vemos,Entretenimiento
392,Caribe Pop - Capítulo 4 - Ciudad Champeta,Educación
323,Caribe Pop - El último de los Coyongos,Educación
840,Carlos Muñoz - El gran papel de su vida,Entretenimiento
523,Celebramos Halloween con la Feria de los Niños - Mi Señal,Educación
626,Celso Piña - No Gustas de Mí - #Conversaciones2014,Otros
691,Charles King y El alguacil Ft. El Freaky colectivo - La vitamina,Entretenimiento
941,Ciclo: Amores de historia - Del 26 al 30 de julio 10:30 p.m. #EnCineNosVemos,Película y Animación
373,Cimarrones - Cap 04 Sazón negra,Gente y Blogs
287,Cimarrones - Cap 05 Presencia negra,Gente y Blogs
414,Cimarrones - Cap 10 Agua negra,Educación
912,Cimarrón está en 'Versión en vivo',Entretenimiento
981,Cinco deportes y juegos Puesto 2 - Tapita o Checa,Entretenimiento
920,Cinco elementos de celebración Puesto 2 - Una competencia,Entretenimiento
555,Cinco elementos de celebración Puesto 4 - Música especial,Entretenimiento
642,Cinco que no haría un colombiano Puesto 5 - No puede llegar a tiempo,Entretenimiento
824,Cine familiar en fin de semana,Entretenimiento
234,"Circo del sol ""Varekai"" - Sábado 21 de Junio",Película y Animación
58,Colom-bío - Capítulo 3 - Basuras,Educación
33,Colombia Oro y Paz - Del 6 al 11 de febrero en Señal Colombia,Deportes
737,Colombia en bicicleta - Todo lo que vimos,Entretenimiento
576,Colombia rumbo al campeonato mundial de pista en Francia 2015,Deportes
977,Colombia se mueve - Capítulo 03 Por la trocha,Otros
988,Colombia se mueve - Capítulo 11 Como pez el agua,Otros
404,Colombia y su historia en la Vuelta España. 1,Deportes
811,Colombianos cantando cumbia en el metro de Brasilia,Deportes
699,Colombianos celebran el segundo triunfo de su selección,Deportes
689,Comiendo cuento - Todo lo que vimos,Entretenimiento
850,Con animación todo es posible - Marcador,Película y Animación
760,Con animación todo es posible por Señal Colombia,Película y Animación
10,"Concurso Nacional de Bandas de Paipa, Boyacá (Desfile completo)",Otros
562,Contraseña verde - El regalo,Educación
769,"Conversaciones, El Charrito Negro - Miércoles 30 de Julio 7:00 pm",Película y Animación
42,Convocatoria sobre los derechos humanos de las mujeres y la violencia basada en género,Película y Animación
147,Crema pastelera,Educación
503,Cuando el río suena - Bahía Solano,Educación
442,Cuando el río suena - Nueva Venecia (Capítulo completo),Gente y Blogs
527,Cuando el río suena - Providencia (Capítulo completo),Gente y Blogs
919,Cuando en río suena - Guapí (Capítulo completo),Gente y Blogs
255,Cuentos de Cocina II - Fríjol,Entretenimiento
468,Cuentos de Cocina II - Maní,Entretenimiento
358,Cuentos de Cocina II - Maní - paso a paso receta,Entretenimiento
176,"Cuentos de Viejos - Nicolás, el hijo del curandero",Película y Animación
382,"Cuentos de Viejos - Ysabel, el miedo baja del cielo",Película y Animación
289,Cuentos de viejos - Así hicimos Cuentos de viejos,Película y Animación
937,Cuentos de viejos - Horarios,Película y Animación
516,"Cuentos de viejos - Josefina, la de los dientes filudos",Película y Animación
30,DBC intro cap 02,Deportes
307,Decoración Puesto 4 - Peluches en el baño,Entretenimiento
528,Dedos apestosos por: Salomé y Sara,Película y Animación
624,Deja huella,Educación
80,Disciplina - Fútbol de salon,Deportes
630,Disciplina - Tejo,Deportes
940,Documental 1h20,Entretenimiento
411,"Documental: 'Amrika, Amrika' - Hoy miércoles 25 de febrero 8:00 p.m. #SeñalParaPensar",Película y Animación
745,Documental: 'Especuladores' - Lunes 23 de febrero 8:00 p.m. #SeñalParaPensar,Película y Animación
249,Documental: 'Mujeres a la calle' - Estreno hoy domingo 3 de mayo 9:00 p.m.,Gente y Blogs
148,Documental: 'Solar mamas' - Hoy martes 3 de marzo 8:00 p.m. #SeñalParaPensar,Película y Animación
767,Documental: 'Vientre de mujer' - Mañana domingo 8 de marzo 8:00 p.m. #SeñalParaPensar,Película y Animación
3,"Documentales: 'Camilo, el cura guerrillero' - Hoy martes 12 de mayo 8:00 p.m. #SeñalParaPensar",Película y Animación
482,Don Ca una película de Patricia Ayala Ruiz - Clip 3,Película y Animación
836,Don Ca una película de Patricia Ayala Ruiz - Clip 6,Película y Animación
863,Don Ca una película de Patricia Ayala Ruiz - Clip 8,Película y Animación
252,Dos colombianos en un equipo italiano,Deportes
768,Día Internacional de la niña,Película y Animación
643,ENERGÍA FICCIÓN,Educación
87,ETT - Making Off,Educación
632,"Ejercita tu cuerpo, ejercita tu mente",Deportes
543,El Dr. Rodolfo Llinás habla con Señal Colombia,Entretenimiento
364,El Reino - Final de temporada - Jueves 23 de abril 10:30 p.m.,Entretenimiento
11,El Tour de Francia con Nairo Quintana,Deportes
120,El cine según los maestros - Señal Colombia en el FICCI,Película y Animación
471,El cine según los maestros - Señal Colombia en el FICCI,Película y Animación
748,El mundo según Pirry y el mundo según Hollman - Todo lo que vimos,Entretenimiento
312,El nombre de la gloria - Capítulo 11 - Helmut Bellingrodt,Deportes
426,El nombre de la gloria - Capítulo 13 - Elkin Serna y Moisés Fuentes,Deportes
449,El nombre de la gloria - Capítulo 19 - Oscar Figueroa,Deportes
636,"El nombre de la gloria, Nairo Quintana - Sábado 23 de agosto, 2:00 pm / 9:30 pm",Deportes
559,"El papa, la luna y el nobel - Todo lo que vimos",Entretenimiento
697,El sillón de la injusticia - servicio militar,Entretenimiento
725,Emanuel - Saya,Película y Animación
818,"En agosto relájate, mes del humor y la comedia - Señal Colombia",Película y Animación
205,"En cine nos vemos - Beatriz González ¿Por qué llora si ya reí? - Diego García Moreno, 2011",Película y Animación
515,"En cine nos vemos - Campeones del ring - José A. Venegas, 1972",Película y Animación
280,"En cine nos vemos - Carrusel - Guillermo Iván, 2012",Película y Animación
