ID,categoria
271,Entretenimiento
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Educación y Otros
686,Entretenimiento
238,Entretenimiento
802,Educación y Otros
678,Deportes
43,Educación y Otros
593,Educación y Otros
613,Entretenimiento
999,Película y Animación
590,Educación y Otros
862,Educación y Otros
74,Educación y Otros
308,Educación y Otros
504,Educación y Otros
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Educación y Otros
975,Entretenimiento
277,Película y Animación
293,Película y Animación
398,Película y Animación
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Película y Animación
936,Película y Animación
477,Película y Animación
433,Película y Animación
615,Deportes
229,Deportes
695,Educación y Otros
66,Educación y Otros
917,Película y Animación
322,Deportes
938,Educación y Otros
242,Entretenimiento
436,Deportes
934,Educación y Otros
774,Película y Animación
354,Película y Animación
202,Película y Animación
735,Educación y Otros
14,Deportes
441,Deportes
951,Deportes
761,Educación y Otros
333,Deportes
644,Educación y Otros
880,Película y Animación
153,Película y Animación
378,Entretenimiento
431,Educación y Otros
413,Deportes
640,Educación y Otros
363,Película y Animación
726,Educación y Otros
649,Educación y Otros
604,Educación y Otros
713,Educación y Otros
41,Educación y Otros
808,Educación y Otros
95,Entretenimiento
815,Entretenimiento
162,Deportes
447,Entretenimiento
347,Entretenimiento
320,Educación y Otros
337,Educación y Otros
971,Educación y Otros
356,Deportes
796,Educación y Otros
113,Educación y Otros
221,Educación y Otros
602,Educación y Otros
702,Educación y Otros
514,Educación y Otros
821,Educación y Otros
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Educación y Otros
190,Educación y Otros
367,Película y Animación
717,Película y Animación
49,Película y Animación
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Deportes
723,Deportes
63,Educación y Otros
677,Película y Animación
207,Educación y Otros
572,Educación y Otros
625,Entretenimiento
956,Educación y Otros
254,Deportes
68,Deportes
175,Educación y Otros
407,Deportes
708,Película y Animación
210,Educación y Otros
222,Educación y Otros
316,Educación y Otros
490,Deportes
219,Película y Animación
544,Deportes
816,Deportes
141,Deportes
399,Deportes
298,Educación y Otros
733,Entretenimiento
451,Educación y Otros
783,Entretenimiento
567,Entretenimiento
770,Película y Animación
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Educación y Otros
115,Educación y Otros
169,Entretenimiento
741,Educación y Otros
145,Educación y Otros
118,Entretenimiento
191,Entretenimiento
915,Educación y Otros
295,Entretenimiento
629,Educación y Otros
683,Educación y Otros
351,Entretenimiento
621,Entretenimiento
581,Entretenimiento
429,Educación y Otros
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Educación y Otros
270,Educación y Otros
314,Entretenimiento
157,Entretenimiento
742,Educación y Otros
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Educación y Otros
328,Entretenimiento
860,Educación y Otros
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Educación y Otros
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Educación y Otros
878,Entretenimiento
550,Educación y Otros
838,Entretenimiento
108,Entretenimiento
791,Entretenimiento
59,Educación y Otros
853,Deportes
335,Deportes
232,Educación y Otros
60,Educación y Otros
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Deportes
104,Película y Animación
83,Entretenimiento
658,Película y Animación
864,Película y Animación
