ID,categoria
271,Educación y Otros
165,Deportes
397,Deportes
879,Deportes
777,Deportes
491,Deportes
972,Deportes
813,Educación y Otros
686,Entretenimiento
238,Entretenimiento
802,Educación y Otros
678,Deportes
43,Película y Animación
593,Deportes
613,Entretenimiento
999,Educación y Otros
590,Educación y Otros
862,Educación y Otros
74,Educación y Otros
308,Educación y Otros
504,Educación y Otros
583,Entretenimiento
749,Deportes
751,Película y Animación
814,Película y Animación
641,Educación y Otros
975,Entretenimiento
277,Educación y Otros
293,Educación y Otros
398,Deportes
423,Película y Animación
895,Película y Animación
186,Película y Animación
119,Película y Animación
869,Película y Animación
138,Película y Animación
842,Película y Animación
76,Entretenimiento
936,Película y Animación
477,Película y Animación
433,Entretenimiento
615,Deportes
229,Deportes
695,Educación y Otros
66,Película y Animación
917,Entretenimiento
322,Deportes
938,Educación y Otros
242,Entretenimiento
436,Deportes
934,Educación y Otros
774,Entretenimiento
354,Entretenimiento
202,Educación y Otros
735,Entretenimiento
14,Entretenimiento
441,Deportes
951,Deportes
761,Deportes
333,Educación y Otros
644,Deportes
880,Película y Animación
153,Película y Animación
378,Entretenimiento
431,Deportes
413,Deportes
640,Educación y Otros
363,Película y Animación
726,Deportes
649,Deportes
604,Película y Animación
713,Educación y Otros
41,Educación y Otros
808,Educación y Otros
95,Entretenimiento
815,Entretenimiento
162,Educación y Otros
447,Entretenimiento
347,Entretenimiento
320,Deportes
337,Educación y Otros
971,Educación y Otros
356,Deportes
796,Educación y Otros
113,Educación y Otros
221,Educación y Otros
602,Educación y Otros
702,Educación y Otros
514,Educación y Otros
821,Educación y Otros
775,Película y Animación
724,Película y Animación
706,Película y Animación
687,Educación y Otros
190,Educación y Otros
367,Educación y Otros
717,Película y Animación
49,Educación y Otros
835,Película y Animación
801,Deportes
268,Deportes
336,Película y Animación
299,Película y Animación
757,Educación y Otros
723,Deportes
63,Educación y Otros
677,Deportes
207,Educación y Otros
572,Educación y Otros
625,Entretenimiento
956,Entretenimiento
254,Deportes
68,Deportes
175,Película y Animación
407,Deportes
708,Película y Animación
210,Educación y Otros
222,Entretenimiento
316,Educación y Otros
490,Deportes
219,Película y Animación
544,Deportes
816,Deportes
141,Educación y Otros
399,Deportes
298,Educación y Otros
733,Entretenimiento
451,Entretenimiento
783,Entretenimiento
567,Entretenimiento
770,Deportes
124,Entretenimiento
12,Entretenimiento
56,Entretenimiento
964,Película y Animación
123,Deportes
264,Deportes
522,Deportes
891,Deportes
797,Deportes
669,Deportes
955,Deportes
663,Entretenimiento
115,Educación y Otros
169,Entretenimiento
741,Entretenimiento
145,Educación y Otros
118,Educación y Otros
191,Entretenimiento
915,Educación y Otros
295,Entretenimiento
629,Entretenimiento
683,Entretenimiento
351,Educación y Otros
621,Entretenimiento
581,Entretenimiento
429,Educación y Otros
288,Entretenimiento
985,Entretenimiento
535,Entretenimiento
199,Entretenimiento
270,Educación y Otros
314,Entretenimiento
157,Entretenimiento
742,Entretenimiento
913,Entretenimiento
37,Entretenimiento
591,Entretenimiento
89,Entretenimiento
328,Entretenimiento
860,Entretenimiento
825,Entretenimiento
61,Entretenimiento
841,Entretenimiento
350,Entretenimiento
480,Entretenimiento
705,Entretenimiento
445,Entretenimiento
782,Entretenimiento
805,Entretenimiento
878,Entretenimiento
550,Educación y Otros
838,Educación y Otros
108,Educación y Otros
791,Entretenimiento
59,Educación y Otros
853,Deportes
335,Entretenimiento
232,Película y Animación
60,Película y Animación
223,Deportes
462,Deportes
416,Deportes
272,Deportes
8,Deportes
151,Educación y Otros
104,Educación y Otros
83,Educación y Otros
658,Educación y Otros
864,Película y Animación
